date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T15:45,38.1
2026-06-26,2026-06-26T03:15,25.6,78.1
2026-06-26,2026-06-26T07:00,26.7,80.1
2026-06-26,2026-06-26T11:15,35.6,96.1
2026-06-26,2026-06-26T14:15,36.5,97.7
2026-06-26,2026-06-26T15:45,36.3,97.3
2026-06-27,2026-06-27T02:15,24.3,75.7
2026-06-27,2026-06-27T15:45,34.2,93.6
2026-06-28,2026-06-28T02:45,23.5,74.3
2026-06-28,2026-06-28T06:15,21.6,70.9
2026-06-28,2026-06-28T10:45,29.4,84.9
2026-06-28,2026-06-28T15:45,33.0,91.4
2026-06-29,2026-06-29T04:45,21.5,70.7
2026-06-29,2026-06-29T08:30,26.1,79.0
2026-06-29,2026-06-29T15:45,33.1,91.6
2026-06-30,2026-06-30T03:15,22.2,72.0
2026-06-30,2026-06-30T06:45,22.3,72.1
2026-06-30,2026-06-30T16:00,31.3,88.3
2026-07-01,2026-07-01T03:30,22.5,72.5
2026-07-01,2026-07-01T07:00,23.3,73.9
2026-07-01,2026-07-01T11:45,31.7,89.1
2026-07-01,2026-07-01T16:00,32.4,90.3
2026-07-02,2026-07-02T02:45,23.6,74.5
2026-07-02,2026-07-02T06:30,22.1,71.8
2026-07-02,2026-07-02T11:15,31.9,89.4
2026-07-02,2026-07-02T15:45,34.6,94.3
2026-07-03,2026-07-03T02:45,24.3,75.7
2026-07-03,2026-07-03T06:30,23.0,73.4
2026-07-03,2026-07-03T11:00,32.6,90.7
2026-07-03,2026-07-03T15:45,36.5,97.7
2026-07-04,2026-07-04T02:00,27.0,80.6
2026-07-04,2026-07-04T06:00,23.8,74.8
2026-07-04,2026-07-04T10:45,34.2,93.6
2026-07-04,2026-07-04T15:45,35.5,95.9
2026-07-05,2026-07-05T02:30,28.9,84.0
2026-07-05,2026-07-05T10:45,34.5,94.1
2026-07-05,2026-07-05T15:45,38.4,101.1
2026-07-06,2026-07-06T04:15,26.5,79.7
2026-07-06,2026-07-06T08:00,29.7,85.5
2026-07-06,2026-07-06T11:45,36.3,97.3
2026-07-06,2026-07-06T15:45,38.1,100.6
2026-07-07,2026-07-07T03:15,28.4,83.1
2026-07-07,2026-07-07T07:00,28.9,84.0
2026-07-07,2026-07-07T11:45,38.0,100.4
2026-07-07,2026-07-07T15:45,39.6,103.3
2026-07-08,2026-07-08T02:15,29.8,85.6
2026-07-08,2026-07-08T06:30,27.1,80.8
2026-07-08,2026-07-08T11:00,36.9,98.4
2026-07-08,2026-07-08T15:45,40.5,104.9
2026-07-09,2026-07-09T03:15,29.8,85.6
2026-07-09,2026-07-09T11:45,39.7,103.5
2026-07-09,2026-07-09T16:00,41.1,106.0
2026-07-10,2026-07-10T03:15,28.2,82.8
2026-07-10,2026-07-10T11:15,37.9,100.2
2026-07-10,2026-07-10T15:45,40.3,104.5
2026-07-11,2026-07-11T01:30,30.5,86.9
2026-07-11,2026-07-11T05:45,27.1,80.8
2026-07-11,2026-07-11T10:45,35.8,96.4
2026-07-11,2026-07-11T15:30,38.6,101.5
2026-07-12,2026-07-12T01:45,30.3,86.5
2026-07-12,2026-07-12T05:45,26.0,78.8
2026-07-12,2026-07-12T10:45,35.1,95.2
2026-07-12,2026-07-12T15:30,36.9,98.4
2026-07-13,2026-07-13T11:15,34.4,93.9
2026-07-13,2026-07-13T15:45,35.1,95.2
2026-07-14,2026-07-14T06:00,27.8,82.0
2026-07-14,2026-07-14T10:45,34.0,93.2
2026-07-14,2026-07-14T15:45,33.4,92.1
2026-07-15,2026-07-15T06:15,29.9,85.8
2026-07-15,2026-07-15T15:45,39.7,103.5
